# Constructed from biom file
#OTU ID	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
Unassigned;Other	0.00991305409289	0.00601724099459	0.00311127838414	0.00316737602692	0.00295462050507	0.00197897854261	0.00133868808568	0.00366247059109	0.00455975378465	0.0038935552943	0.00298223814049	0.0025206882065	0.00303963335407	0.00303528647419	0.0022602815245	0.00275009913148	0.00314261088643	0.00438754744757	0.00227154547196	0.00332656877959	0.00275621351628	0.00270239837856	0.00235340982352	0.00368386418288	0.00258998430806	0.00351055341989	0.00206399881209	0.005405758877	0.00406572336286	0.00419227900517
k__Archaea;p__Crenarchaeota	0.00136217103986	0.0120939849904	0.0325262409568	0.0373297888887	0.0161026817526	0.00782596060034	0.0160642570281	0.0226135325459	0.0597310710595	0.0144521977801	0.0195161172429	0.0527976708059	0.0292545023585	0.0288910545336	0.0101988312691	0.0169099118689	0.0577537625141	0.0194697417986	0.0447877610225	0.0410727786399	0.0290545826563	0.00575868225908	0.0269777290906	0.0172569664393	0.0278599779553	0.0249220279974	0.0141361645259	0.0115526298581	0.004807490448	0.00465523006096
k__Archaea;p__Euryarchaeota	2.99622143186e-05	0.0	6.69092125622e-05	4.24202146463e-05	0.0	0.0	0.0	0.0	0.000335025496008	0.0	4.38564432425e-05	0.0	6.29975824678e-05	0.000101514597799	0.0	0.0	0.000875157462043	0.0	8.21040532034e-05	0.0	2.40717337666e-05	0.0	5.24144726842e-06	1.23000473552e-05	0.000124883939382	0.0	8.4143836464e-05	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota]	3.32913492429e-06	7.43787514783e-05	0.0	9.89805008413e-05	5.21403618541e-05	6.22755485438e-05	0.0	2.42547721264e-05	7.38191770865e-05	5.36425528491e-05	0.000453183246839	0.000127011421258	7.87469780847e-05	0.0	7.35050902275e-05	0.0	6.62998077306e-05	1.4432721867e-05	2.73680177345e-05	2.38748955473e-05	3.61076006499e-05	6.43428185372e-05	4.19315781474e-05	1.23000473552e-05	3.80081554642e-05	7.97853049975e-05	0.0	8.71896593064e-05	2.09934080699e-05	0.0
k__Bacteria;Other	1.10971164143e-05	0.0	0.0	0.0	0.0	6.91950539375e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03029195598e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__	0.000323480943477	0.000200822628991	9.2000167273e-05	0.000254521287878	0.000182491266489	4.84365377563e-05	0.0	0.000185953252969	0.000272563115396	0.00043361063553	0.000204663401798	0.000263792951843	0.000212616840829	0.000142120436919	0.000229703406961	0.00024303201627	0.000192269442419	0.000909261477622	0.000205260133009	0.000461581313915	7.22152012999e-05	2.41285569514e-05	7.86217090263e-05	0.000239850923426	0.000179181304331	0.000427939363168	0.000183136585245	0.00013078448896	6.99780268996e-05	2.57195030992e-05
k__Bacteria;p__AD3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13567964749e-05	0.0	0.0	0.0	0.0	0.0	9.18813627844e-06	0.0	6.62998077306e-05	0.0	0.0	0.0	0.0	0.000152814194026	3.66901308789e-05	6.15002367759e-06	0.0	7.25320954522e-06	3.46474620734e-05	0.00013078448896	0.000538830807127	0.0
k__Bacteria;p__Acidobacteria	0.169334783357	0.202287890395	0.154234098607	0.17803764087	0.133774788397	0.168517634359	0.171352074967	0.172920355413	0.20409298945	0.171539943586	0.152021051093	0.191953337958	0.186378347731	0.237320826735	0.144216987026	0.186469512273	0.166273287807	0.215033123097	0.173677440543	0.187171222793	0.178961304688	0.1992375376	0.151152856327	0.180158793611	0.155681404781	0.140741278016	0.180651867251	0.220197484578	0.215070467873	0.0475039222242
k__Bacteria;p__Actinobacteria	0.059822890022	0.0931370726011	0.218433488061	0.172947215113	0.15831551871	0.0886250250832	0.145917001339	0.260277959689	0.118888623897	0.131777401287	0.142708866311	0.137050208592	0.165699391286	0.103646404353	0.114612811937	0.150782179358	0.139600875157	0.0880107379451	0.139426366348	0.118650272572	0.105145333093	0.0896697604839	0.122461173979	0.0874041365059	0.170433998838	0.130340175528	0.128349048432	0.100246310788	0.158339281466	0.167794038219
k__Bacteria;p__Armatimonadetes	0.000595360295627	0.000661970888157	0.000928365324301	0.0011877660101	0.000790795488121	0.000934133228157	0.0	0.00104295520144	0.00135145878051	0.000938744674859	0.00147650025583	0.00131896475922	0.00141744560552	0.00214195801356	0.000909625491565	0.000562810985047	0.00247298282835	0.000995857808824	0.00116314075372	0.000954995821893	0.000854546548715	0.00217961297795	0.00110594537364	0.00182655703224	0.000450668129076	0.00095742365997	0.000326676070978	0.00220153889749	0.00228828147962	0.000745865589877
k__Bacteria;p__BHI80-139	5.04918796851e-05	5.20651260348e-05	6.69092125622e-05	7.07003577438e-05	6.08304221631e-05	2.7678021575e-05	0.0	0.000145528632758	9.65327700362e-05	9.38744674859e-05	0.000116950515313	2.93103279826e-05	7.87469780847e-05	6.09087586795e-05	3.67525451137e-05	0.00011512042876	0.000132599615461	8.65963312021e-05	2.73680177345e-05	0.000135291074768	2.40717337666e-05	3.21714092686e-05	2.62072363421e-05	0.00017835068665	5.42973649489e-05	0.000101544933633	9.89927487812e-06	0.000108987074133	9.09714349694e-05	0.0
k__Bacteria;p__BRC1	0.000304615845573	0.000208260504139	0.000150545728265	0.000155540787036	0.000295462050507	0.000269860710356	0.0	0.00022637787318	0.000158995150648	0.000232451062346	0.000365470360354	0.000278448115834	0.000228366236446	8.12116782393e-05	0.000339961042302	0.000217449698768	0.000981237154412	0.000158759940537	0.000629464407893	0.000477497910947	0.000962869350665	0.00022519986488	0.000351176966984	0.000350551349623	0.000152032621857	0.00033364763908	0.000212834409879	0.000283366392746	0.000370883542568	0.000900182608472
